Name MC MP
Bitcoin 116624384217428 56%
Ethereum 37966911930708 18%
Tether 10045754606031 5%
BNB 8002747149060 4%
Solana 5940309732981 3%
USDC 2892789507757 1%
XRP 2381675942416 1%
Dogecoin 1764047659291 1%
Toncoin 1756669109449 1%
Cardano 1310462562509 1%
"Shiba Inu" 1092730366728 1%
Avalanche 1062646723882 1%
TRON 896562449565 0%
Polkadot 797143917244 0%
Chainlink 783793254439 0%
"Bitcoin Cash" 749817478359 0%
Uniswap 588468149252 0%
"NEAR Protocol" 548341565934 0%
Polygon 531256805590 0%
Litecoin 525042768118 0%
Dai 477545255767 0%
"UNUS SED LEO" 469712721665 0%
Pepe 452453996213 0%
Coin 381217830369 0%
Kaspa 342267528614 0%
Coin 332915744290 0%
Aptos 314484150233 0%
Monero 284747936690 0%
Render 280853049499 0%
Hedera 273167152260 0%
Filecoin 260557504321 0%
Mantle 259953048641 0%
Stellar 252317941635 0%
Cosmos 249079458487 0%
Stacks 248524190073 0%
OKB 243982593999 0%
Cronos 242526766414 0%
Arbitrum 238496742577 0%
Immutable 236516112221 0%
Coin 227175630366 0%
Injective 217247703912 0%
dogwifhat 214556874944 0%
Sui 204744094780 0%
"The Graph" 203091529885 0%
Optimism 199402541234 0%
Maker 190109737278 0%
Bittensor 189464617304 0%
VeChain 187912818613 0%
Notcoin 177872565169 0%
FLOKI 173901840949 0%
Arweave 170882554537 0%
"Lido DAO" 164016889567 0%
Fantom 158103993940 0%
Bonk 151792007283 0%
Ondo 151754924805 0%
"Theta Network" 150464276690 0%
JasmyCoin 148174260623 0%
"Bitget Token" 144171225770 0%
THORChain 140696315903 0%
Celestia 130521302432 0%
Core 125165893734 0%
Brett 124138497956 0%
"Pyth Network" 115737793719 0%
Sei 114191790415 0%
Aave 113405660461 0%
Algorand 112285353728 0%
Fetch.ai 112107212663 0%
Starknet 111674635839 0%
Jupiter 105976462545 0%
Flare 101877833641 0%
Ethena 97514419295 0%
Flow 96163885586 0%
Gala 94024571544 0%
Quant 89471578366 0%
"KuCoin Token" 89216520166 0%
"Axie Infinity" 88352032601 0%
"Bitcoin SV" 87868802636 0%
Beam 87643347718 0%
Coin 85851852983 0%
ORDI 84815895763 0%
Chiliz 84286042551 0%
dYdX 83095425823 0%
MultiversX 79296259798 0%
Neo 78896344431 0%
"The Sandbox" 77824633371 0%
Ronin 75521736538 0%
Gnosis 74949824717 0%
"Akash Network" 74807233016 0%
Worldcoin 74641687264 0%
Oasis 74566950490 0%
Wormhole 73414190076 0%
SingularityNET 72326419262 0%
Tezos 71638654765 0%
Pendle 71651581107 0%
GateToken 69797316973 0%
Conflux 68441243277 0%
Nexo 67245674841 0%
Livepeer 66461480066 0%
Decentraland 66189026649 0%
eCash 65936330554 0%
